Active consumed power
	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	0.00	5.64	24.49	12.43	1.98	2.91	0.00	0.00	7.67	2.34	0.91	1.59	3.51	3.87	
2	0.00	5.21	22.61	11.47	1.82	2.69	0.00	0.00	7.08	2.16	0.84	1.46	3.24	3.58	
3	0.00	4.99	21.67	10.99	1.75	2.58	0.00	0.00	6.79	2.07	0.81	1.40	3.10	3.43	
4	0.00	4.77	20.72	10.52	1.67	2.46	0.00	0.00	6.49	1.98	0.77	1.34	2.97	3.28	
5	0.00	4.77	20.72	10.52	1.67	2.46	0.00	0.00	6.49	1.98	0.77	1.34	2.97	3.28	
6	0.00	5.21	22.61	11.47	1.82	2.69	0.00	0.00	7.08	2.16	0.84	1.46	3.24	3.58	
7	0.00	5.64	24.49	12.43	1.98	2.91	0.00	0.00	7.67	2.34	0.91	1.59	3.51	3.87	
8	0.00	6.51	28.26	14.34	2.28	3.36	0.00	0.00	8.85	2.70	1.05	1.83	4.05	4.47	
9	0.00	7.59	32.97	16.73	2.66	3.92	0.00	0.00	10.32	3.15	1.22	2.13	4.72	5.21	
10	0.00	9.11	39.56	20.08	3.19	4.70	0.00	0.00	12.39	3.78	1.47	2.56	5.67	6.26	
11	0.00	10.63	46.16	23.42	3.72	5.49	0.00	0.00	14.46	4.41	1.71	2.99	6.62	7.30	
12	0.00	12.37	53.69	27.25	4.33	6.38	0.00	0.00	16.81	5.13	1.99	3.48	7.69	8.49	
13	0.00	14.11	61.23	31.07	4.94	7.28	0.00	0.00	19.18	5.85	2.27	3.96	8.78	9.69	
14	0.00	15.62	67.82	34.42	5.47	8.06	0.00	0.00	21.24	6.48	2.52	4.39	9.72	10.73	
15	0.00	17.14	74.42	37.76	6.00	8.85	0.00	0.00	23.30	7.11	2.77	4.82	10.67	11.77	
16	0.00	18.23	79.13	40.15	6.38	9.41	0.00	0.00	24.78	7.56	2.94	5.12	11.34	12.52	
17	0.00	19.10	82.90	42.06	6.69	9.86	0.00	0.00	25.96	7.92	3.08	5.37	11.88	13.11	
18	0.00	19.75	85.72	43.50	6.92	10.19	0.00	0.00	26.85	8.19	3.19	5.55	12.29	13.56	
19	0.00	20.18	87.61	44.45	7.07	10.42	0.00	0.00	27.44	8.37	3.26	5.67	12.56	13.86	
20	0.00	20.40	88.55	44.93	7.14	10.53	0.00	0.00	27.73	8.46	3.29	5.73	12.69	14.01	
21	0.00	20.40	88.55	44.93	7.14	10.53	0.00	0.00	27.73	8.46	3.29	5.73	12.69	14.01	
22	0.00	20.40	88.55	44.93	7.14	10.53	0.00	0.00	27.73	8.46	3.29	5.73	12.69	14.01	
23	0.00	20.18	87.61	44.45	7.07	10.42	0.00	0.00	27.44	8.37	3.26	5.67	12.56	13.86	
24	0.00	20.18	87.61	44.45	7.07	10.42	0.00	0.00	27.44	8.37	3.26	5.67	12.56	13.86	
25	0.00	19.96	86.66	43.98	6.99	10.30	0.00	0.00	27.14	8.28	3.22	5.61	12.42	13.71	
26	0.00	19.96	86.66	43.98	6.99	10.30	0.00	0.00	27.14	8.28	3.22	5.61	12.42	13.71	
27	0.00	19.96	86.66	43.98	6.99	10.30	0.00	0.00	27.14	8.28	3.22	5.61	12.42	13.71	
28	0.00	19.75	85.72	43.50	6.92	10.19	0.00	0.00	26.85	8.19	3.19	5.55	12.29	13.56	
29	0.00	19.53	84.78	43.02	6.84	10.08	0.00	0.00	26.55	8.10	3.15	5.49	12.15	13.41	
30	0.00	19.31	83.84	42.54	6.76	9.97	0.00	0.00	26.25	8.01	3.12	5.43	12.02	13.26	
31	0.00	18.88	81.95	41.59	6.61	9.74	0.00	0.00	25.66	7.83	3.04	5.31	11.74	12.96	
32	0.00	18.23	79.13	40.15	6.38	9.41	0.00	0.00	24.78	7.56	2.94	5.12	11.34	12.52	
33	0.00	17.36	75.36	38.24	6.08	8.96	0.00	0.00	23.60	7.20	2.80	4.88	10.80	11.92	
34	0.00	16.49	71.59	36.33	5.78	8.51	0.00	0.00	22.42	6.84	2.66	4.64	10.26	11.32	
35	0.00	15.19	65.94	33.46	5.32	7.84	0.00	0.00	20.65	6.30	2.45	4.27	9.45	10.43	
36	0.00	14.11	61.23	31.07	4.94	7.28	0.00	0.00	19.18	5.85	2.27	3.96	8.78	9.69	
37	0.00	13.02	56.52	28.68	4.56	6.72	0.00	0.00	17.70	5.40	2.10	3.66	8.10	8.94	
38	0.00	11.94	51.81	26.29	4.18	6.16	0.00	0.00	16.23	4.95	1.93	3.35	7.43	8.20	
39	0.00	10.85	47.10	23.90	3.80	5.60	0.00	0.00	14.75	4.50	1.75	3.05	6.75	7.45	
40	0.00	10.20	44.27	22.47	3.57	5.26	0.00	0.00	13.86	4.23	1.65	2.87	6.34	7.00	
41	0.00	9.55	41.45	21.03	3.34	4.93	0.00	0.00	12.98	3.96	1.54	2.68	5.94	6.56	
42	0.00	9.11	39.56	20.08	3.19	4.70	0.00	0.00	12.39	3.78	1.47	2.56	5.67	6.26	
43	0.00	8.68	37.68	19.12	3.04	4.48	0.00	0.00	11.80	3.60	1.40	2.44	5.40	5.96	
44	0.00	8.46	36.74	18.64	2.96	4.37	0.00	0.00	11.51	3.51	1.36	2.38	5.27	5.81	
45	0.00	8.25	35.80	18.16	2.89	4.26	0.00	0.00	11.21	3.42	1.33	2.32	5.13	5.66	
46	0.00	8.03	34.85	17.69	2.81	4.14	0.00	0.00	10.91	3.33	1.29	2.26	5.00	5.51	
47	0.00	7.81	33.91	17.21	2.74	4.03	0.00	0.00	10.62	3.24	1.26	2.20	4.86	5.36	
48	0.00	7.59	32.97	16.73	2.66	3.92	0.00	0.00	10.32	3.15	1.22	2.13	4.72	5.21	
49	0.00	6.94	30.14	15.30	2.43	3.58	0.00	0.00	9.44	2.88	1.12	1.95	4.32	4.77	
50	0.00	6.51	28.26	14.34	2.28	3.36	0.00	0.00	8.85	2.70	1.05	1.83	4.05	4.47	
51	0.00	6.08	26.38	13.38	2.13	3.14	0.00	0.00	8.26	2.52	0.98	1.71	3.78	4.17	
52	0.00	5.64	24.49	12.43	1.98	2.91	0.00	0.00	7.67	2.34	0.91	1.59	3.51	3.87	
53	0.00	5.21	22.61	11.47	1.82	2.69	0.00	0.00	7.08	2.16	0.84	1.46	3.24	3.58	
54	0.00	5.21	22.61	11.47	1.82	2.69	0.00	0.00	7.08	2.16	0.84	1.46	3.24	3.58	
55	0.00	5.64	24.49	12.43	1.98	2.91	0.00	0.00	7.67	2.34	0.91	1.59	3.51	3.87	
56	0.00	6.29	27.32	13.86	2.20	3.25	0.00	0.00	8.55	2.61	1.01	1.77	3.91	4.32	
57	0.00	7.38	32.03	16.25	2.58	3.81	0.00	0.00	10.03	3.06	1.19	2.07	4.59	5.07	
58	0.00	8.90	38.62	19.60	3.12	4.59	0.00	0.00	12.09	3.69	1.43	2.50	5.53	6.11	
59	0.00	10.85	47.10	23.90	3.80	5.60	0.00	0.00	14.75	4.50	1.75	3.05	6.75	7.45	
60	0.00	12.80	55.58	28.20	4.48	6.61	0.00	0.00	17.40	5.31	2.06	3.60	7.96	8.79	
61	0.00	14.76	64.06	32.50	5.17	7.62	0.00	0.00	20.06	6.12	2.38	4.15	9.18	10.13	
62	0.00	16.49	71.59	36.33	5.78	8.51	0.00	0.00	22.42	6.84	2.66	4.64	10.26	11.32	
63	0.00	18.23	79.13	40.15	6.38	9.41	0.00	0.00	24.78	7.56	2.94	5.12	11.34	12.52	
64	0.00	19.53	84.78	43.02	6.84	10.08	0.00	0.00	26.55	8.10	3.15	5.49	12.15	13.41	
65	0.00	20.61	89.49	45.41	7.22	10.64	0.00	0.00	28.02	8.55	3.32	5.79	12.82	14.15	
66	0.00	21.27	92.32	46.84	7.45	10.98	0.00	0.00	28.91	8.82	3.43	5.98	13.23	14.60	
67	0.00	21.70	94.20	47.80	7.60	11.20	0.00	0.00	29.50	9.00	3.50	6.10	13.50	14.90	
68	0.00	21.70	94.20	47.80	7.60	11.20	0.00	0.00	29.50	9.00	3.50	6.10	13.50	14.90	
69	0.00	21.48	93.26	47.32	7.52	11.09	0.00	0.00	29.20	8.91	3.46	6.04	13.37	14.75	
70	0.00	21.27	92.32	46.84	7.45	10.98	0.00	0.00	28.91	8.82	3.43	5.98	13.23	14.60	
71	0.00	20.83	90.43	45.89	7.30	10.75	0.00	0.00	28.32	8.64	3.36	5.86	12.96	14.30	
72	0.00	20.18	87.61	44.45	7.07	10.42	0.00	0.00	27.44	8.37	3.26	5.67	12.56	13.86	
73	0.00	19.75	85.72	43.50	6.92	10.19	0.00	0.00	26.85	8.19	3.19	5.55	12.29	13.56	
74	0.00	19.10	82.90	42.06	6.69	9.86	0.00	0.00	25.96	7.92	3.08	5.37	11.88	13.11	
75	0.00	18.45	80.07	40.63	6.46	9.52	0.00	0.00	25.07	7.65	2.98	5.18	11.47	12.66	
76	0.00	18.01	78.19	39.67	6.31	9.30	0.00	0.00	24.48	7.47	2.90	5.06	11.21	12.37	
77	0.00	17.36	75.36	38.24	6.08	8.96	0.00	0.00	23.60	7.20	2.80	4.88	10.80	11.92	
78	0.00	16.71	72.53	36.81	5.85	8.62	0.00	0.00	22.71	6.93	2.70	4.70	10.39	11.47	
79	0.00	16.27	70.65	35.85	5.70	8.40	0.00	0.00	22.12	6.75	2.62	4.57	10.12	11.18	
80	0.00	15.62	67.82	34.42	5.47	8.06	0.00	0.00	21.24	6.48	2.52	4.39	9.72	10.73	
81	0.00	15.19	65.94	33.46	5.32	7.84	0.00	0.00	20.65	6.30	2.45	4.27	9.45	10.43	
82	0.00	14.54	63.11	32.03	5.09	7.50	0.00	0.00	19.77	6.03	2.35	4.09	9.04	9.98	
83	0.00	14.11	61.23	31.07	4.94	7.28	0.00	0.00	19.18	5.85	2.27	3.96	8.78	9.69	
84	0.00	13.67	59.35	30.11	4.79	7.06	0.00	0.00	18.59	5.67	2.21	3.84	8.51	9.39	
85	0.00	13.24	57.46	29.16	4.64	6.83	0.00	0.00	18.00	5.49	2.13	3.72	8.23	9.09	
86	0.00	12.59	54.64	27.72	4.41	6.50	0.00	0.00	17.11	5.22	2.03	3.54	7.83	8.64	
87	0.00	12.15	52.75	26.77	4.26	6.27	0.00	0.00	16.52	5.04	1.96	3.42	7.56	8.34	
88	0.00	11.50	49.93	25.33	4.03	5.94	0.00	0.00	15.64	4.77	1.85	3.23	7.16	7.90	
89	0.00	11.07	48.04	24.38	3.88	5.71	0.00	0.00	15.04	4.59	1.79	3.11	6.88	7.60	
90	0.00	10.42	45.22	22.94	3.65	5.38	0.00	0.00	14.16	4.32	1.68	2.93	6.48	7.15	
91	0.00	9.77	42.39	21.51	3.42	5.04	0.00	0.00	13.28	4.05	1.57	2.75	6.08	6.71	
92	0.00	9.11	39.56	20.08	3.19	4.70	0.00	0.00	12.39	3.78	1.47	2.56	5.67	6.26	
93	0.00	8.46	36.74	18.64	2.96	4.37	0.00	0.00	11.51	3.51	1.36	2.38	5.27	5.81	
94	0.00	7.81	33.91	17.21	2.74	4.03	0.00	0.00	10.62	3.24	1.26	2.20	4.86	5.36	
95	0.00	7.16	31.09	15.77	2.51	3.70	0.00	0.00	9.74	2.97	1.16	2.01	4.46	4.92	
96	0.00	6.51	28.26	14.34	2.28	3.36	0.00	0.00	8.85	2.70	1.05	1.83	4.05	4.47	
97	0.00	6.08	26.38	13.38	2.13	3.14	0.00	0.00	8.26	2.52	0.98	1.71	3.78	4.17	
98	0.00	5.64	24.49	12.43	1.98	2.91	0.00	0.00	7.67	2.34	0.91	1.59	3.51	3.87	
99	0.00	5.21	22.61	11.47	1.82	2.69	0.00	0.00	7.08	2.16	0.84	1.46	3.24	3.58	
100	0.00	5.21	22.61	11.47	1.82	2.69	0.00	0.00	7.08	2.16	0.84	1.46	3.24	3.58	
