Reactive power consumed
	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	0.00	3.30	4.94	-1.01	0.42	1.95	0.00	0.00	4.32	1.51	0.47	0.42	1.51	1.30	
2	0.00	3.05	4.56	-0.94	0.38	1.80	0.00	0.00	3.98	1.39	0.43	0.38	1.39	1.20	
3	0.00	2.92	4.37	-0.90	0.37	1.73	0.00	0.00	3.82	1.33	0.41	0.37	1.33	1.15	
4	0.00	2.79	4.18	-0.86	0.35	1.65	0.00	0.00	3.65	1.28	0.40	0.35	1.28	1.10	
5	0.00	2.79	4.18	-0.86	0.35	1.65	0.00	0.00	3.65	1.28	0.40	0.35	1.28	1.10	
6	0.00	3.05	4.56	-0.94	0.38	1.80	0.00	0.00	3.98	1.39	0.43	0.38	1.39	1.20	
7	0.00	3.30	4.94	-1.01	0.42	1.95	0.00	0.00	4.32	1.51	0.47	0.42	1.51	1.30	
8	0.00	3.81	5.70	-1.17	0.48	2.25	0.00	0.00	4.98	1.74	0.54	0.48	1.74	1.50	
9	0.00	4.44	6.65	-1.36	0.56	2.62	0.00	0.00	5.81	2.03	0.63	0.56	2.03	1.75	
10	0.00	5.33	7.98	-1.64	0.67	3.15	0.00	0.00	6.97	2.44	0.76	0.67	2.44	2.10	
11	0.00	6.22	9.31	-1.91	0.78	3.67	0.00	0.00	8.13	2.84	0.88	0.78	2.84	2.45	
12	0.00	7.24	10.83	-2.22	0.91	4.27	0.00	0.00	9.46	3.31	1.03	0.91	3.31	2.85	
13	0.00	8.25	12.35	-2.54	1.04	4.88	0.00	0.00	10.79	3.77	1.17	1.04	3.77	3.25	
14	0.00	9.14	13.68	-2.81	1.15	5.40	0.00	0.00	11.95	4.18	1.30	1.15	4.18	3.60	
15	0.00	10.03	15.01	-3.08	1.26	5.93	0.00	0.00	13.11	4.58	1.42	1.26	4.58	3.95	
16	0.00	10.67	15.96	-3.28	1.34	6.30	0.00	0.00	13.94	4.87	1.51	1.34	4.87	4.20	
17	0.00	11.18	16.72	-3.43	1.41	6.60	0.00	0.00	14.61	5.10	1.58	1.41	5.10	4.40	
18	0.00	11.56	17.29	-3.55	1.46	6.83	0.00	0.00	15.11	5.28	1.64	1.46	5.28	4.55	
19	0.00	11.81	17.67	-3.63	1.49	6.98	0.00	0.00	15.44	5.39	1.67	1.49	5.39	4.65	
20	0.00	11.94	17.86	-3.67	1.50	7.05	0.00	0.00	15.60	5.45	1.69	1.50	5.45	4.70	
21	0.00	11.94	17.86	-3.67	1.50	7.05	0.00	0.00	15.60	5.45	1.69	1.50	5.45	4.70	
