Dados das barras - Rede Extra. Valor de Potência de base deve ser adicionado no código Python!
TIPO: 1 -> Barra Slack; 2 -> Barra PV; 3 -> Barra PQ
 Nº  Tipo  Tensão   Theta(º)   PG      QG      PC      QC      bshk  ap   bp   cp   aq   bq   cq  
 1     1    1.060     0.0      232.4  -16.9   0.00   0.00      0.00  1    0    0    1    0    0
 2     2    1.045     0.0      40.00   42.4   21.7   12.7      0.00  1    0    0    1    0    0
 3     2    1.010     0.0      0.000   23.4   94.2   19.0      0.00  1    0    0    1    0    0
 4     3    1.000     0.0      0.000   0.00   47.8  -3.90      0.00  1    0    0    1    0    0
 5     3    1.000     0.0      0.000   0.00   07.6   1.60      0.00  1    0    0    1    0    0
 6     2    1.070     0.0      0.000   12.2   11.2   7.50      0.00  1    0    0    1    0    0
 7     3    1.000     0.0      0.000   0.00   0.00   0.00      0.00  1    0    0    1    0    0
 8     2    1.090     0.0      0.000   17.4   0.00   0.00      0.00  1    0    0    1    0    0
 9     3    1.000     0.0      0.000   0.00   29.5   16.6      0.19  1    0    0    1    0    0
10     3    1.000     0.0      0.000   0.00   9.00   5.80      0.00  1    0    0    1    0    0
11     3    1.000     0.0      0.000   0.00   3.50   1.80      0.00  1    0    0    1    0    0
12     3    1.000     0.0      0.000   0.00   6.10   1.60      0.00  1    0    0    1    0    0
13     3    1.000     0.0      0.000   0.00   13.5   5.80      0.00  1    0    0    1    0    0
14     3    1.000     0.0      0.000   0.00   14.9   5.00      0.00  1    0    0    1    0    0
