Node data
Type 1 -> Node Slack; 2 -> Node PV; 3 -> NodePQ
 Nº  Tipo  Tensão   Theta(º)   PG      QG     Bshunt
 1     3    1.060     0.00      0.00   0.00   0.00
 2     2    1.045     0.00      40.0   0.00   0.00
 3     2    1.010     0.00      0.00   0.00   0.00
 4     0    1.000     0.00      0.00   0.00   0.00
 5     0    1.000     0.00      0.00   0.00   0.00
 6     2    1.070     0.00      0.00   0.00   0.00
 7     0    1.000     0.00      0.00   0.00   0.00
 8     2    1.090     0.00      0.00   0.00   0.00
 9     0    1.000     0.00      0.00   0.00   0.19
10     0    1.000     0.00      0.00   0.00   0.00
11     0    1.000     0.00      0.00   0.00   0.00
12     0    1.000     0.00      0.00   0.00   0.00
13     0    1.000     0.00      0.00   0.00   0.00
14     0    1.000     0.00      0.00   0.00   0.00
